Dataset,Architecture,Optimizer,BestAcc,MedianAcc,WorstAcc,SuccessRate,IQR
CIFAR10,PlainNet,Adam,82.72000122070312,76.55500030517578,50.0,1.0,12.545001983642578
CIFAR10,PlainNet,SGD,84.41999816894531,61.21999931335449,9.529999732971191,1.0,46.92250204086304
CIFAR10,ResNet,Adam,84.58999633789062,78.11499786376953,55.099998474121094,1.0,11.09500503540039
CIFAR10,ResNet,SGD,86.68000030517578,67.8499984741211,9.970000267028809,1.0,39.35249996185303
CIFAR100,PlainNet,Adam,47.33000183105469,35.80500030517578,8.479999542236328,1.0,15.322498321533203
CIFAR100,PlainNet,SGD,51.9900016784668,12.005000114440918,0.5400000214576721,1.0,33.25000113248825
CIFAR100,ResNet,Adam,54.43000030517578,43.295000076293945,15.220000267028809,1.0,14.84749984741211
CIFAR100,ResNet,SGD,56.880001068115234,23.234999656677246,0.8199999928474426,1.0,39.47499883174896
MNIST,PlainNet,Adam,99.69999694824219,99.47000122070312,98.62000274658203,1.0,0.4200019836425781
MNIST,PlainNet,SGD,99.66999816894531,98.72999954223633,9.600000381469727,1.0,28.892499923706055
MNIST,ResNet,Adam,99.72000122070312,99.42499923706055,97.45999908447266,1.0,0.4724998474121094
MNIST,ResNet,SGD,99.69999694824219,98.71500015258789,9.760000228881836,1.0,7.62750244140625
